participant,topic,system,normalized_gain,kgain,pre_acc,post_acc,article_id,article_key,article_version_label,group,student_id,order,category,n_questions
G3a_6,30086,Ours,1.0,0.5,0.5,1.0,30086,news_0,news_0a,G3a,6,17,Space,6
G3a_6,30708,Baseline,0.5000000000000001,0.16666666666666666,0.6666666666666666,0.8333333333333334,30708,news_2,news_2b,G3a,6,20,Tech,6
G3a_7,29733,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29733,news_2,news_2b,G3a,7,1,Health,6
G3a_7,29734,Baseline,1.0,0.5,0.5,1.0,29734,news_2,news_2b,G3a,7,2,Space,6
G3a_7,29739,Ours,0.7499999999999999,0.5,0.3333333333333333,0.8333333333333334,29739,news_0,news_0a,G3a,7,3,Health,6
G3a_7,29753,Baseline,1.0,0.8333333333333334,0.16666666666666666,1.0,29753,news_2,news_2b,G3a,7,4,Health,6
G3a_7,29802,Ours,0.7499999999999999,0.5,0.3333333333333333,0.8333333333333334,29802,news_0,news_0a,G3a,7,6,Humans,6
G3a_7,29846,Baseline,0.5000000000000001,0.16666666666666666,0.6666666666666666,0.8333333333333334,29846,news_2,news_2b,G3a,7,7,Nature,6
G3a_7,29866,Ours,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,29866,news_0,news_0a,G3a,7,8,Nature,6
G3a_7,29873,Ours,1.0,0.8333333333333334,0.16666666666666666,1.0,29873,news_0,news_0a,G3a,7,9,Humans,6
G3a_7,29902,Ours,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,29902,news_0,news_0a,G3a,7,10,Nature,6
G3a_7,29929,Ours,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,29929,news_0,news_0a,G3a,7,11,Physics,6
G3a_7,29943,Baseline,1.0,0.8333333333333334,0.16666666666666666,1.0,29943,news_2,news_2b,G3a,7,12,Tech,6
G3a_7,29958,Baseline,1.0,1.0,0.0,1.0,29958,news_2,news_2b,G3a,7,13,Physics,6
G3a_7,29988,Baseline,0.49999999999999994,0.3333333333333333,0.3333333333333333,0.6666666666666666,29988,news_2,news_2b,G3a,7,14,Humans,6
G3a_7,30052,Ours,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,30052,news_0,news_0a,G3a,7,15,Physics,6
G3a_7,30061,Baseline,0.8,0.6666666666666666,0.16666666666666666,0.8333333333333334,30061,news_2,news_2b,G3a,7,16,Physics,6
