annotator_id,media,file,batch,qs_id,phase,q_in_set,question_text,answer_option,source_file,correct_option,is_correct
7,news,a1,1,4,pre,5,5,5.0,a1.csv,2.0,False
7,news,a1,1,4,pre,6,5,5.0,a1.csv,2.0,False
7,news,a1,1,4,post,1,1,2.0,a1.csv,1.0,False
7,news,a1,1,4,post,2,1,1.0,a1.csv,1.0,True
7,news,a1,1,4,post,3,2,2.0,a1.csv,2.0,True
7,news,a1,1,4,post,4,2,2.0,a1.csv,3.0,False
7,news,a1,1,4,post,5,1,5.0,a1.csv,2.0,False
7,news,a1,1,4,post,6,2,5.0,a1.csv,2.0,False
7,news,a1,1,5,pre,1,3,1.0,a1.csv,1.0,True
7,news,a1,1,5,pre,2,3,1.0,a1.csv,1.0,True
7,news,a1,1,5,pre,3,5,5.0,a1.csv,2.0,False
7,news,a1,1,5,pre,4,5,5.0,a1.csv,2.0,False
7,news,a1,1,5,pre,5,5,5.0,a1.csv,2.0,False
7,news,a1,1,5,pre,6,5,5.0,a1.csv,2.0,False
7,news,a1,1,5,post,1,1,1.0,a1.csv,1.0,True
7,news,a1,1,5,post,2,1,1.0,a1.csv,1.0,True
7,news,a1,1,5,post,3,2,4.0,a1.csv,2.0,False
7,news,a1,1,5,post,4,3,3.0,a1.csv,2.0,False
7,news,a1,1,5,post,5,4,5.0,a1.csv,2.0,False
